years_practice,school,name,title,graduate_year,specialties,insurance
20+ Years,California School of Professional Psychology,Marti E. Peck,"Psychologist,, ,PhD",1989,"Depression,Anxiety,Sexual Abuse","Aetna,Anthem,Blue Care Network,Blue Cross,BlueCross and BlueShield,Insurance PPO Plans,Victims of Crime,Out of Network"
15+ Years,California School of Professional Psychology,"Brad P. Miller, Psy.D.","PsyD,Psychologist,, ",1999,"Depression,Anxiety,Child or Adolescent","APS Healthcare,BlueCross and BlueShield,Corphealth,Health Net,MHN,Magellan Behavioral Health,PacifiCare,TRICARE,TriWest,UnitedHealthcare,Out of Network"
10 Years,"National University, MA in Counseling Psychology",Patrizia I Spiga,"LMFT,, ,Marriage & Family Therapist",2005,"Relationship Issues,Family Conflict,Anxiety","Blue Shield,BlueCross and BlueShield,ComPsych,Coventry,ESI (Employee Assistance Group),Health Net,IBH (Integrated Behavioral Health),MHN,MHNet Behavioral Health,Magellan Behavioral Health,Optum,OptumHealth/UBH,Sutter Health EAP,TRICARE,TriWest,UnitedHealthCare,UnitedHealthcare,Out of Network"
11 Years,Bethel University,Gina Smith,"CDC,LMFT,MA,, ,Marriage & Family Therapist",2008,"Codependency,Anxiety,Depression",Out of Network
,,June Carrington,"LMFT,MA,, ,Marriage & Family Therapist",,"Eating Disorders,Trauma and PTSD,Domestic Abuse",
,Alliant International University,Jo A Henry,"Marriage & Family Therapist Intern, ,MFT-RI, ,MA,CADC-II,, ",2012,"Relationship Issues,Grief,Trauma and PTSD",Out of Network
,University of Hawaii JAB School of Medicine,Ernest Visperas De Guzman,"MD,, ,Psychiatrist",2007,"Mood Disorders,Psychosis,Elderly Persons Disorders",
10+ Years,Azusa Pacific University,Gerard Counseling,"MFT,MA,, ,Marriage & Family Therapist",1981,"Infidelity,Relationship Issues,Marital and Premarital","PPO's,TRICARE"
6 Years,,Rachael Hatton,"MFT,MA,, ,Marriage & Family Therapist",,"Obsessive-Compulsive (OCD),Impulse Control Disorders,Child or Adolescent",Out of Network
15+ Years,University of Iowa,Cathy S Harris,"LCSW,Clinical Social Work/Therapist,, ",2001,"Trauma and PTSD,Borderline Personality,Depression","All PPOs,Health Savings Plan,I am not a Medi-Cal provider,Other HMOs please check your plan,Out of Network"
15+ Years,University of Maine,Joel D Lazar,"Psychologist,, ,PhD",1989,"Depression,Anxiety,Child or Adolescent","APS Healthcare,Aetna,BlueCross and BlueShield,Health Net,MHN,Medicaid,Medicare,TRICARE,TriWest,Out of Network"
10+ Years,San Diego State University,Tamela S Dreyer,"LCSW,Clinical Social Work/Therapist,, ",2002,"Addiction,Depression,Anxiety",Aetna
18 Years,Pacifica Graduate Institute,Regina Huelsenbeck,"Psychologist,, ,PhD",2008,"Addiction,Anxiety,Relationship Issues","Out of Network,Out of Network"
10 Years,Bethel University,Sheila A London,"LMFT,, ,Marriage & Family Therapist",2005,,Out of Network
6 Years,Pepperdine University,Nicole M Charara,"MFT,MA,, ,Marriage & Family Therapist",2008,"Anxiety,Child or Adolescent,Relationship Issues",Out of Network
20+ Years,California School of Professional Psychology,Carol Bateman,"PsyD,Psychologist,, ",1999,"Depression,Anxiety,Relationship Issues",
8 Years,California School of Professional Psychology,Association for Compassionate Transformation,"PsyD,Psychologist,, ",2005,"Depression,Anxiety,Addiction",Any PPO
30+ Years,Loyola University- Chicago,Nubia J Swain,"MD,, ,Psychiatrist",1987,"Mood Disorders,Anxiety,Elderly Persons Disorders",
8 Years,California School of Professional Psychology,Sarah Ray,"PsyD,Psychologist,QME,, ",2007,"Testing and Evaluation,Chronic Pain,Depression","Aetna,Blue Cross,Blue Shield,BlueCross and BlueShield,CA Victims of Crime,Cigna,First Health,Magellan Behavioral Health,Psychological Assistants for reduced fee,TRICARE,TriWest,Workers' Compensation,Out of Network"
20+ Years,California School of Professional Psychology,Paul R Sussman,"Psychologist,, ,PhD",1990,"Sex Therapy,Anxiety,Relationship Issues",Out of Network
20+ Years,,Nancy Deutsch,"LCSW,Clinical Social Work/Therapist,, ",,"Grief,Trauma and PTSD,Self Esteem","Aetna,BlueCross and BlueShield,Medicare,TRICARE,TriWest,ValueOptions"
20+ Years,University of Kansas,Paul Lesnik,"TEP,LCSW,Clinical Social Work/Therapist,, ",1998,"Substance Abuse,Trauma and PTSD,Gay",
5 Years,UCLA,Deborah Pontillo,"Psychologist,, ,PhD",2001,"Child or Adolescent,Autism,ADHD",Out of Network
15+ Years,Alliant International University,Heather Johnson,"Psychologist,MA,MS,, ,PhD",2013,"Depression,Anxiety,Trauma and PTSD","Blue Shield,BlueCross and BlueShield,MHN,Most Blueshield plans,Partial reimbursement for ""out of network"" PPOs,TRICARE,Tricare Prime and Standard,Out of Network"
,Alliant International University/ California Scho,Maria Fowlks,"PsyD,Pre-Licensed Professional,, ",2012,"Child or Adolescent,Parenting,Emotional Disturbance",Out of Network
4 Years,Loyola Marymount University,Allison Patch,"LMFT,ATR,, ,Marriage & Family Therapist",2013,"Child or Adolescent,Addiction,Relationship Issues",
6 Years,,Melissa Lorang,"MD,, ,Psychiatrist",,Child or Adolescent,Out of Network
,,Trinity Counseling,"Marriage & Family Therapist Intern, ,MFTI",,,
10+ Years,San Diego State University,Donna M. Starr,"LCSW,Clinical Social Work/Therapist,, ",2003,"Depression,Anxiety,Bipolar Disorder","And other Insurance plans,Cigna,Medicaid,Medicare,Molina,TRICARE"
,,Anjou Parekh,Pre-Licensed Professional,,"Depression,Anxiety,Mood Disorders","Aetna,Blue Cross,Blue Shield,BlueCross and BlueShield,Cigna,Empire BlueCross,Free Insurance Verification,Most Private Insurance Accepted,Optum,TRICARE,UnitedHealthcare,Out of Network"
7 Years,Pacifica Graduate Institute,Estela C Bobadilla,"LMFT,MA,, ,Marriage & Family Therapist",2007,"Relationship Issues,Women's Issues,Life Transitions","Aetna,BlueCross and BlueShield,Cigna,Humana,Magellan Behavioral Health,Optum,TRICARE,TriWest,UnitedHealthcare,ValueOptions,Out of Network"
,University of Southern California,Katie C. Miller,"LCSW,Clinical Social Work/Therapist,, ",2011,"Depression,Anxiety,Mood Disorders","ACI Specialty Benefits,AllOne Health,Cigna,ComPsych,Medicare,Meridian,Out of Network"
8 Years,Alliant International University,The Center for Integrative Wellness,"Psychologist,, ,PhD",2007,"Anxiety,Depression,Chronic Pain","Aetna,BlueCross and BlueShield,TRICARE,UnitedHealthcare,Out of Network"
10+ Years,University of San Diego,Sylvia L. Flanagan,"MFT,MA,, ,Marriage & Family Therapist",2001,"Depression,Anxiety,Relationship Issues","TRICARE,TriWest"
20+ Years,Professional School of Psychological Studies,Samuel A. Newman,"LMFT,, ,Marriage & Family Therapist",1986,"Relationship Issues,Addiction,Anxiety","Aetna,BlueCross and BlueShield,Cigna,TriWest"
15+ Years,California School of Professional Psychology,Kathie Sweeten,"PsyD,Psychologist,, ,BCBA-D",1997,"Behavioral Issues,Autism,Anxiety","Aetna,Anthem,Cigna,TRICARE,TriWest,Out of Network"
,,Leslie Hovsepian,"Psychologist,, ,PhD",,"Anxiety,Depression,Child or Adolescent","Aetna,Alliance,AmeriHealth,Anthem,BlueCross and BlueShield,Cigna,Health Net,Humana,MHN,MHNet Behavioral Health,Magellan Behavioral Health,Multiplan,Optima,Optum,PacifiCare,TRICARE,TriWest,UMR,UnitedHealthcare,ValueOptions,Out of Network"
20+ Years,National University,Evangeline Cava Clark,"MFT,, ,Marriage & Family Therapist",1987,"Relationship Issues,Domestic Violence,Grief","Aetna,Anthem,BlueCross and BlueShield,Ceridian,Cigna,ComPsych,Magellan Behavioral Health,Medica,Military OneSource,Optum,TRICARE,TriWest,ValueOptions,Out of Network"
12 Years,California School of Professional Psychology,Callie Meyer-Lee,"PsyD,MFT,, ,Marriage & Family Therapist",2013,"Trauma and PTSD,Grief,Marital and Premarital","Superbill given for insurance reimbursement,Out of Network"
,,Tiffany Triplett,"Marriage & Family Therapist Intern, ,MA",,"Life Transitions,Relationship Issues,Women's Issues",Out of Network
,,Erin Graves,"MSW,ASW,Pre-Licensed Professional,, ",,"Anxiety,Women's Issues,Trauma and PTSD",Can provide receipt of services for reimbursement
,,"Krysta Pilar Meany, Psy.D.","PsyD,Psychologist,, ",,"Anxiety,Depression,Self Esteem",
20+ Years,SDSU,Laura A Zweckbronner,"MFT,, ,Marriage & Family Therapist",1985,"Relationship Issues,Gay/ Lesbian,Depression","Aetna,BlueCross and BlueShield,Health Net,MHN,Magellan Behavioral Health,PacifiCare,TRICARE,UnitedHealthcare"
,,Frances A Welk,"Psychologist,, ,PhD",,"Infertility,Weight Loss,Chronic Illness",
,San Diego State University,Leah Brianna Aguirre,"LCSW,Clinical Social Work/Therapist,, ",2013,"Depression,Anxiety,Trauma and PTSD",
10 Years,San Diego State University,Michael Giancola,"LMFT,MA,MS,, ,Marriage & Family Therapist",2010,"Sexual Addiction,Infidelity,Sex Therapy",Out of Network
10+ Years,San Diego State University,Personal Evolution Psychotherapy,"LCSW,Clinical Social Work/Therapist,LMFT,, ,PhD",2001,"Borderline Personality,Transgender,Suicidal Ideation","Cigna,TRICARE"
,,James DiGloria,"Marriage & Family Therapist Intern, ,MA",,"Relationship Issues,Anxiety,Life Transitions",
15+ Years,CSPP,Sonja L Banks,"Psychologist,, ,PhD",1996,"Pregnancy, Prenatal, Postpartum,Anxiety,Mood Disorders",Out of Network
20+ Years,Union Institute and University,Madison Omholt,"SEP,PhD,LMFT,, ,Marriage & Family Therapist",2003,"Relationship Issues,Anxiety,Trauma and PTSD","ChoiceCare,Humana,MHNet Behavioral Health,TRICARE,Victims of Crime,Out of Network"
30+ Years,San Diego State University,Barbara Wohlander,"LCSW,Clinical Social Work/Therapist,, ",1977,"Relationship Issues,Chronic Pain,Grief",
10+ Years,Alliant International University,Kevin Fawcett,"Psychologist,, ,PhD",2009,"Depression,Anxiety,Relationship Issues","BlueCross and BlueShield,Humana,LifeSynch,Out of Network"
8 Years,San Diego State University,Jennifer Torio,"LCSW,Clinical Social Work/Therapist,, ",2001,"Eating Disorders,Codependency,Relationship Issues",Out of Network
6 Years,Azusa Pacific University,Dennis Lee Estill,"LMFT,MA,, ,Marriage & Family Therapist",2011,"Marital and Premarital,Sleep or Insomnia,Sexual Addiction","Anthem,BlueCross and BlueShield,Out of Network"
20+ Years,"McGill University, Montreal Canada",David M. Ross,"MSW,LCSW,Clinical Social Work/Therapist,, ",1971,"Relationship Issues,Trauma and PTSD,Depression","Note: Sessions are 90 minutes,Out of Network"
9 Years,National University,Mary Sinquay Nobles,"LMFT,, ,Marriage & Family Therapist",2008,"Anxiety,Trauma and PTSD,Depression",
6 Years,University of California San Diego/SDSU JDP,Kiandra Hebert,"Psychologist,MS,, ,PhD",2010,"Anxiety,Depression,Weight Loss",Out of Network
6 Years,University of San Diego,Mary E Jimenez,"LMFT,MA,, ,Marriage & Family Therapist",2009,"Anxiety,Relationship Issues,Grief",Out of Network
15+ Years,"California State University, Long Beach",Ann Minnich,"LCSW,Clinical Social Work/Therapist,, ",1993,"Family Conflict,Relationship Issues,Emotional Disturbance","Cigna,TRICARE"
10 Years,San Diego State University,Mahshid F Hager,"SEP,MFT,, ,Marriage & Family Therapist",2003,,"BlueCross and BlueShield,Cigna,MHN,Out of Network"
6 Years,National University,Christy George,"LMFT,MA,, ,Marriage & Family Therapist",2011,"Trauma and PTSD,Relationship Issues,Stress",Out of Network
27 Years,San Diego State University,Joseph Jeffers,"MFT,, ,Marriage & Family Therapist",1989,"life transitions and aging,Anxiety,Gay",Out of Network
,,Michelle Marie Vercelli,"LMFT,MA,, ,Marriage & Family Therapist",,"Child or Adolescent,Behavioral Issues,Family Conflict",
10+ Years,Southern Connecticut State University,Gina Smith,"IDHP,LMFT,, ,Marriage & Family Therapist",1999,"Relationship Issues,Grief,Spirituality",
2 Years,,Rawers Therapy,"LMFT,CSAT,, ,Marriage & Family Therapist",,"Sexual Addiction,Relationship Issues,Antisocial Personality",TRICARE
10 Years,Alliant International University,Susannah Muller,"JD,LMFT,MA,, ,Marriage & Family Therapist",2006,"Anxiety,Depression,Trauma and PTSD",
30+ Years,Catholic University of America,Fredric A Seldin,"Psychologist,, ,PhD",1980,"Depression,Relationship Issues,Anxiety","Blue Care Network,Blue Cross,Blue Shield,BlueCross and BlueShield,Cigna,Empire BlueCross,Health Net,Humana,MHN,Magellan Behavioral Health,Medicaid,Medicare,Military OneSource,Molina,TRICARE,ValueOptions,Out of Network"
20+ Years,National University,Daniel Carr,"MFT,, ,Marriage & Family Therapist",1990,"Relationship Issues,Anxiety,Mindfulness Pracice",Out of Network
5 Years,Alliant International University,Wendy Kaiser,"LMFT,MA,, ,Marriage & Family Therapist",2011,"Anxiety,Depression,Adoption",Out of Network
20+ Years,San Diego State University,"Victor Bloomberg, LCSW","LCSW,Clinical Social Work/Therapist,, ",1984,"Emotional Disturbance,Relationship Issues,Grief",
15+ Years,"University of Nevada, Las Vegas (UNLV)",Dr. Sarah E Nunnink,"Psychologist,MA,, ,PhD",2006,"Trauma and PTSD,Relationship Issues,Emotional Disturbance","TriWest,Out of Network"
10+ Years,Alliant International University,Bridgett Ross,"PsyD,Psychologist,, ",2007,"Anxiety,Grief,Trauma and PTSD","Anthem,Blue Cross,Blue Shield,BlueCross and BlueShield,Cigna,Coventry,First Health,GEHA,Multiplan,PHCS,Priority Health,TRICARE,TriWest,ValueOptions,Victims of Crime,Out of Network"
,,Hyangmi Kang,"LPCC,Counselor,RPT,, ,NCC",,"Child or Adolescent,Parenting,Stress",
,University of San Diego,Melissa Mello,"LMFT,MA,, ,Marriage & Family Therapist",,"Anxiety,Eating Disorders,Parenting",Out of Network
20+ Years,California Professional School of Psychology,"Claudia Law-Greenberg, PhD","Psychologist,, ,PhD",1991,"Relationship Issues,Anxiety,Depression","Aetna,Ceridian,MHN,Medicare,Out of Network"
,,Douglas Baker MFT,"LMFT,MA,, ,Marriage & Family Therapist",2011,"Mood Disorders,Anxiety,Substance Abuse","Blue Shield,Cigna,MHN,Out of Network"
30+ Years,"California State University, Fullerton",Thomas E Bell,Marriage & Family Therapist,,"Relationship Issues,Testing and Evaluation,Internet Addiction","BlueCross and BlueShield,Ceridian,Most eaps,Out of Network"
8 Years,LA County + USC,WellPsyche Medical Group,"MD,, ,Psychiatrist",2009,"ADHD,Anxiety,Depression","Aetna,Anthem,Blue Care Network,BlueCross and BlueShield,Cigna,Empire BlueCross,Magellan Behavioral Health,NCPPO,Optum,UnitedHealthcare,WellCare,WellPoint,Out of Network"
4 Years,Fuller Seminary,Kelly LaPorta,"Marriage & Family Therapist Intern, ,Intern,MFT,, ,MS",2012,"Relationship Issues,Anxiety,Depression",
10+ Years,San Diego State University,Kristine M Chadsey,"LCSW,Clinical Social Work/Therapist,RPT-S,, ",1998,"Child or Adolescent,Adoption,Sandplay","TRICARE,TriWest,Out of Network"
10+ Years,"University of Massachusetts, Amherst",Sara Hickmann,"Psychologist,, ,PhD",2004,"Sports Performance,ADHD,Sleep or Insomnia",Out of Network
8 Years,National University,Creston Davis,"LMFT,LAADC,, ,Marriage & Family Therapist",2005,"Depression,Addiction,Trauma and PTSD","Blue Shield,Blue Shield of California,Magellan Behavioral Health"
4 Years,University of Phoenix,Jess Hudson,"Marriage & Family Therapist Intern, ,, ,MS,IMF",2014,"Gay,Relationship Issues,Borderline Personality",
20+ Years,PSPS,"Georgina Ramirez, MFT (Bilingual)","MA,, ,Marriage & Family Therapist,MFT,Spanish,English, ",1996,"Relationship Issues,Depression,Anxiety","Aetna,BlueCross and BlueShield,Integrated Health Plan,Magellan Behavioral Health,PacifiCare,UnitedHealthcare"
,,Jeanine Bourcier,"LMFT,, ,Marriage & Family Therapist",,"Bipolar Disorder,Stress,Spirituality","Blue Shield,Cigna,MHN,Magellan Behavioral Health,Out of Network"
8 Years,Northern Arizona University,Roxanne DeBell M.Ed.,"MEd,LPCC,Counselor,, ,NCC",2007,"Trauma and PTSD,Self-Harming,Depression","Optum,TRICARE,TriWest,UnitedHealthcare,Out of Network"
